Type,Conference,Team,Color Name,Hex,Primary,Secondary
MLB,NLW,Arizona Diamondbacks,Sedona Red,#A71930,1,0
MLB,NLW,Arizona Diamondbacks,Sonoran Sand,#E3D4AD,0,1
MLB,NLW,Arizona Diamondbacks,Black,#000000,0,0
MLB,NLW,Arizona Diamondbacks,Teal,#30CED8,0,0
MLB,NLE,Atlanta Braves,Scarlet,#CE1141,0,0
MLB,NLE,Atlanta Braves,Navy Blue,#13274F,1,0
MLB,NLE,Atlanta Braves,Yellow,#EAAA00,0,0
MLB,NLE,Atlanta Braves,White,#FFFFFF,0,1
MLB,ALE,Baltimore Orioles,Orange,#DF4601,1,0
MLB,ALE,Baltimore Orioles,Black,#000000,0,1
MLB,ALE,Boston Red Sox,Red,#BD3039,1,0
MLB,ALE,Boston Red Sox,Navy Blue,#0C2340,0,0
MLB,ALE,Boston Red Sox,White,#FFFFFF,0,1
MLB,NLC,Chicago Cubs,Blue,#0E3386,1,0
MLB,NLC,Chicago Cubs,Red,#CC3433,0,1
MLB,ALC,Chicago White Sox,Black,#27251F,1,0
MLB,ALC,Chicago White Sox,Silver,#C4CED4,0,1
MLB,NLC,Cincinnati Reds,Red,#C6011F,1,0
MLB,NLC,Cincinnati Reds,Black,#000000,0,1
MLB,ALC,Cleveland Guardians,Navy Blue,#00385D,1,0
MLB,ALC,Cleveland Guardians,Red,#E50022,0,0
MLB,ALC,Cleveland Guardians,Red,#FF0000,0,1
MLB,NLW,Colorado Rockies,Purple,#333366,1,0
MLB,NLW,Colorado Rockies,Silver,#C4CED4,0,1
MLB,NLW,Colorado Rockies,Black,#131413,0,0
MLB,ALC,Detroit Tigers,Navy Blue,#0C2340,1,0
MLB,ALC,Detroit Tigers,Orange,#FA4616,0,1
MLB,ALW,Houston Astros,Navy Blue,#002D62,0,1
MLB,ALW,Houston Astros,Orange,#EB6E1F,1,0
MLB,ALC,Kansas City Royals,Royal Blue,#004687,1,0
MLB,ALC,Kansas City Royals,Gold,#BD9B60,0,1
MLB,ALW,Los Angeles Angels,Red,#BA0021,1,0
MLB,ALW,Los Angeles Angels,Midnight Blue,#003263,0,0
MLB,ALW,Los Angeles Angels,White,#FFFFFF,0,1
MLB,NLW,Los Angeles Dodgers,Dodger Blue,#005A9C,1,0
MLB,NLW,Los Angeles Dodgers,Red,#EF3E42,0,0
MLB,NLW,Los Angeles Dodgers,White,#FFFFFF,0,1
MLB,NLE,Miami Marlins,Miami Blue,#00A3E0,1,0
MLB,NLE,Miami Marlins,Caliente Red,#EF3340,0,0
MLB,NLE,Miami Marlins,Slate Gray,#41748D,0,0
MLB,NLE,Miami Marlins,Black,#000000,0,1
MLB,NLC,Milwaukee Brewers,Navy Blue,#12284B,1,0
MLB,NLC,Milwaukee Brewers,Yellow,#FFC52F,0,1
MLB,ALC,Minnesota Twins,Navy Blue,#002B5C,1,0
MLB,ALC,Minnesota Twins,Scarlet Red,#D31145,0,0
MLB,ALC,Minnesota Twins,Kasota Gold,#B9975B,0,1
MLB,NLE,New York Mets,Blue,#002D72,1,0
MLB,NLE,New York Mets,Orange,#FF5910,0,1
MLB,ALE,New York Yankees,Navy Blue,#0C2340,1,0
MLB,ALE,New York Yankees,Blue,#003087,0,0
MLB,ALE,New York Yankees,Pinstripe Gray,#A5ACAF,0,1
MLB,ALW,Oakland Athletics,Green,#003831,1,0
MLB,ALW,Oakland Athletics,Gold,#EFB21E,0,1
MLB,NLE,Philadelphia Phillies,Red,#E81828,1,0
MLB,NLE,Philadelphia Phillies,Blue,#002D72,0,0
MLB,NLE,Philadelphia Phillies,White,#FFFFFF,0,1
MLB,NLC,Pittsburgh Pirates,Black,#27251F,1,0
MLB,NLC,Pittsburgh Pirates,Gold,#FDB827,0,1
MLB,NLW,San Diego Padres,Brown,#2F241D,1,0
MLB,NLW,San Diego Padres,Gold,#FFC425,0,1
MLB,NLW,San Francisco Giants,Orange,#FD5A1E,1,0
MLB,NLW,San Francisco Giants,Black,#27251F,0,1
MLB,NLW,San Francisco Giants,Beige,#EFD19F,0,0
MLB,NLW,San Francisco Giants,Gold,#AE8F6F,0,0
MLB,ALW,Seattle Mariners,Navy Blue,#0C2C56,0,0
MLB,ALW,Seattle Mariners,Northwest Green,#005C5C,1,0
MLB,ALW,Seattle Mariners,Silver,#C4CED4,0,1
MLB,NLC,St. Louis Cardinals,Red,#C41E3A,1,0
MLB,NLC,St. Louis Cardinals,Navy Blue,#0C2340,0,0
MLB,NLC,St. Louis Cardinals,Yellow,#FEDB00,0,1
MLB,ALE,Tampa Bay Rays,Navy Blue,#092C5C,1,0
MLB,ALE,Tampa Bay Rays,Columbia Blue,#8FBCE6,0,1
MLB,ALE,Tampa Bay Rays,Yellow,#F5D130,0,0
MLB,ALW,Texas Rangers,Blue,#003278,1,0
MLB,ALW,Texas Rangers,Red,#C0111F,0,0
MLB,ALW,Texas Rangers,Red,#FF0000,0,1
MLB,ALE,Toronto Blue Jays,Blue,#134A8E,1,0
MLB,ALE,Toronto Blue Jays,Navy Blue,#1D2D5C,0,0
MLB,ALE,Toronto Blue Jays,Red,#E8291C,0,0
MLB,ALE,Toronto Blue Jays,White,#FFFFFF,0,1
MLB,NLE,Washington Nationals,Red,#AB0003,1,0
MLB,NLE,Washington Nationals,Navy Blue,#14225A,0,0
MLB,NLE,Washington Nationals,White,#FFFFFF,0,1
NCAA D1,ACC,Boston College Eagles,Maroon,#98002E,1,0
NCAA D1,ACC,Boston College Eagles,Gold,#BC9B6A,0,1
NCAA D1,ACC,Clemson Tigers,Clemson Orange,#F56600,1,0
NCAA D1,ACC,Clemson Tigers,Regalia,#522D80,0,1
NCAA D1,ACC,Duke Blue Devils,Duke Blue,#003087,1,0
NCAA D1,ACC,Duke Blue Devils,White,#FFFFFF,0,1
NCAA D1,ACC,Florida State Seminoles,Garnet,#782F40,1,0
NCAA D1,ACC,Florida State Seminoles,Gold,#CEB888,0,1
NCAA D1,ACC,Florida State Seminoles,Black,#000000,0,0
NCAA D1,ACC,Georgia Tech Yellow Jackets,Tech Gold,#B3A369,1,0
NCAA D1,ACC,Georgia Tech Yellow Jackets,Metallic Gold,#A28D5B,0,0
NCAA D1,ACC,Georgia Tech Yellow Jackets,Blue,#003057,0,1
NCAA D1,ACC,Louisville Cardinals,Red,#AD0000,1,0
NCAA D1,ACC,Louisville Cardinals,Black,#000000,0,0
NCAA D1,ACC,Louisville Cardinals,Yellow,#FDB913,0,1
NCAA D1,ACC,Miami Hurricanes,Orange,#F47321,0,1
NCAA D1,ACC,Miami Hurricanes,Green,#005030,1,0
NCAA D1,ACC,North Carolina Tar Heels,Carolina Blue,#7BAFD4,1,0
NCAA D1,ACC,North Carolina Tar Heels,White,#FFFFFF,0,0
NCAA D1,ACC,North Carolina Tar Heels,Navy,#13294B,0,1
NCAA D1,ACC,NC State Wolfpack,Red,#CC0000,1,0
NCAA D1,ACC,NC State Wolfpack,Black,#000000,0,1
NCAA D1,ACC,Notre Dame Fighting Irish,Notre Dame Blue,#0C2340,1,0
NCAA D1,ACC,Notre Dame Fighting Irish,Standard Dome Gold,#C99700,0,1
NCAA D1,ACC,Notre Dame Fighting Irish,Metallic Gold,#AE9142,0,0
NCAA D1,ACC,Notre Dame Fighting Irish,Irish Green,#00843D,0,0
NCAA D1,ACC,Pittsburgh Panthers,Game Royal,#003594,1,0
NCAA D1,ACC,Pittsburgh Panthers,University Gold,#FFB81C,0,1
NCAA D1,ACC,Syracuse Orange,Syracuse Orange,#F76900,1,0
NCAA D1,ACC,Syracuse Orange,Primary Blue,#000E54,0,1
NCAA D1,ACC,Virginia Cavaliers,Jefferson Blue,#232D4B,1,0
NCAA D1,ACC,Virginia Cavaliers,Virginia Orange,#F84C1E,0,1
NCAA D1,ACC,Virginia Tech Hokies,Chicago Maroon,#630031,1,0
NCAA D1,ACC,Virginia Tech Hokies,Orange,#CF4420,0,1
NCAA D1,ACC,Wake Forest Demon Deacons,Gold,#9E7E38,1,0
